# SPLC Extremist Files
# Format: website,slug
# Generated from https://www.splcenter.org/resources/extremist-files

https://www.splcenter.org/resources/extremist-files,paul-elam
https://www.splcenter.org/resources/extremist-files,paul-fromm
https://www.splcenter.org/resources/extremist-files,paul-mullet
https://www.splcenter.org/resources/extremist-files,paul-nehlen
https://www.splcenter.org/resources/extremist-files,paul-ray-ramsey
https://www.splcenter.org/resources/extremist-files,peter-brimelow
https://www.splcenter.org/resources/extremist-files,phineas-priesthood
https://www.splcenter.org/resources/extremist-files,pickup-artists-alpha-males-self-help
https://www.splcenter.org/resources/extremist-files,pioneer-fund
https://www.splcenter.org/resources/extremist-files,prageru
https://www.splcenter.org/resources/extremist-files,proenglish
https://www.splcenter.org/resources/extremist-files,proud-boys
https://www.splcenter.org/resources/extremist-files,racist-skinhead
https://www.splcenter.org/resources/extremist-files,radical-hebrew-israelites
https://www.splcenter.org/resources/extremist-files,radical-traditional-catholicism
https://www.splcenter.org/resources/extremist-files,ray-redfeairn
https://www.splcenter.org/resources/extremist-files,raymond-cattell
https://www.splcenter.org/resources/extremist-files,remembrance-project
https://www.splcenter.org/resources/extremist-files,richard-bertrand-spencer
https://www.splcenter.org/resources/extremist-files,richard-butler
https://www.splcenter.org/resources/extremist-files,richard-lynn
https://www.splcenter.org/resources/extremist-files,rise-above-movement
https://www.splcenter.org/resources/extremist-files,roan-garcia-quintana
https://www.splcenter.org/resources/extremist-files,robert-spencer
https://www.splcenter.org/resources/extremist-files,roger-pearson
https://www.splcenter.org/resources/extremist-files,ron-edwards
https://www.splcenter.org/resources/extremist-files,ronald-doggett
https://www.splcenter.org/resources/extremist-files,roy-moore
https://www.splcenter.org/resources/extremist-files,ruth-institute
https://www.splcenter.org/resources/extremist-files,sam-francis
https://www.splcenter.org/resources/extremist-files,scott-lively
https://www.splcenter.org/resources/extremist-files,shaun-walker
https://www.splcenter.org/resources/extremist-files,social-contract-press
https://www.splcenter.org/resources/extremist-files,sovereign-citizens-movement
https://www.splcenter.org/resources/extremist-files,stefan-molyneux
https://www.splcenter.org/resources/extremist-files,stephen-miller
https://www.splcenter.org/resources/extremist-files,stew-peters
https://www.splcenter.org/resources/extremist-files,stormfront
https://www.splcenter.org/resources/extremist-files,thomas-robb
https://www.splcenter.org/resources/extremist-files,thomas-rousseau
https://www.splcenter.org/resources/extremist-files,three-percenters
https://www.splcenter.org/resources/extremist-files,tim-wildmon
https://www.splcenter.org/resources/extremist-files,tom-deweese
https://www.splcenter.org/resources/extremist-files,tom-metzger
